,Fecha,Oficina,Tipo,DETALLE,Documento,Monto,Saldo Contable,concepto,OBSERVACIONA
1,2022-03-08,AG. NORTE,C,DEP CNB 1711297463002                             ,15581534, $ 13.50 ," $ 2,265.37 ",,
2,2022-03-08,CALDERON,C,DEPOSITO                                          ,22983925, $ 5.00 ," $ 2,270.37 ",,
3,2022-03-08,C.C.I,D,PAGO CHEQUE,46969989, $ 142.49 ," $ 2,127.88 ",CHEQUE,
4,2022-03-10,AG. NORTE,C,TRANSFERENCIA INTERNET                            ,12754255, $ 13.50 ," $ 2,141.38 ",,
5,2022-03-14,AG. NORTE,C,TRANSFERENCIA INTERNET                            ,102684206, $ 30.00 ," $ 2,171.38 ",1,
6,2022-03-15,CALDERON,C,DEPOSITO                                          ,36019816, $ 13.50 ," $ 2,184.88 ",,
7,2022-03-16,AG. NORTE,D,COM MEER TRF         000000002                    ,39404658, $ 0.31 ," $ 2,184.57 ",SPI,
8,2022-03-16,AG. NORTE,D,IVA MEER TRF         000000002                    ,39404658, $ 0.04 ," $ 2,184.53 ",SPI,
9,2022-03-16,AG. NORTE,D,PAGO MEER TRF   00000000200013981168              ,39404658, $ 19.89 ," $ 2,164.64 ",LUZ02,
10,2022-03-17,AG. NORTE,D,COM MEER TRF         000000002                    ,37419219, $ 0.31 ," $ 2,164.33 ",SPI,
11,2022-03-17,AG. NORTE,D,IVA MEER TRF         000000002                    ,37419219, $ 0.04 ," $ 2,164.29 ",SPI,
12,2022-03-17,AG. NORTE,D,PAGO MEER TRF   00000000200013971292              ,37419219, $ 15.13 ," $ 2,149.16 ",LUZ01,
13,2022-03-21,C.C.I,D,PAGO CHEQUE,127705189, $ 17.94 ," $ 2,131.22 ",CHEQUE,
14,2022-03-25,AG. NORTE,C,TRANSFERENCIA INTERNET                            ,14871950, $ 13.50 ," $ 2,144.72 ",13,
15,2022-03-28,AG. NORTE,C,TRANSFERENCIA INTERNET                            ,30353564, $ 54.00 ," $ 2,198.72 ",,
16,2022-04-01,AG. NORTE,C,TRANSFERENCIA INTERNET                            ,9007505, $ 13.50 ," $ 2,212.22 ",,
17,2022-04-01,CENTRO SERVIC. OPERAT. SS. QTO,C,TRANSFERENCIA INTERBANCARIA RECIBIDA              ,30664267, $ 35.00 ," $ 2,247.22 ",12,
18,2022-04-01,AG. NORTE,C,TRANSFERENCIA INTERBANCARIA RECIBIDA              ,49297629, $ 14.00 ," $ 2,261.22 ",,
19,2022-04-01,PUMAMAQUI, D ,EXPENSA MES  ABRIL,1042022,13.5,0,1,EXPENSAS
20,2022-04-01,PUMAMAQUI, D ,EXPENSA MES  ABRIL,1042022,13.5,0,2,EXPENSAS
21,2022-04-01,PUMAMAQUI, D ,EXPENSA MES  ABRIL,1042022,13.5,0,3,EXPENSAS
22,2022-04-01,PUMAMAQUI, D ,EXPENSA MES  ABRIL,1042022,13.5,0,4,EXPENSAS
23,2022-04-01,PUMAMAQUI, D ,EXPENSA MES  ABRIL,1042022,13.5,0,5,EXPENSAS
24,2022-04-01,PUMAMAQUI, D ,EXPENSA MES  ABRIL,1042022,13.5,0,6,EXPENSAS
25,2022-04-01,PUMAMAQUI, D ,EXPENSA MES  ABRIL,1042022,13.5,0,7,EXPENSAS
26,2022-04-01,PUMAMAQUI, D ,EXPENSA MES  ABRIL,1042022,13.5,0,8,EXPENSAS
27,2022-04-01,PUMAMAQUI, D ,EXPENSA MES  ABRIL,1042022,13.5,0,9,EXPENSAS
28,2022-04-01,PUMAMAQUI, D ,EXPENSA MES  ABRIL,1042022,13.5,0,10,EXPENSAS
